"13902","Ingleburn"
"13868","Burleigh Waters"
"13785","Elwood"
"13776","Cleveland"
"13755","Victoria Point"
"13747","Yarraville"
"13665","Singleton"
"13649","Bongaree"
"13606","Raymond Terrace"
"13582","Mount Druitt"
"13575","Bacchus Marsh"
"13552","Newtown"
"13532","Moonee Ponds"
"13494","Palm Beach"
"13475","Ascot Vale"
"13399","Morwell"
"13293","Port Melbourne"
"13285","Yeppoon"
"13259","Keilor East"
"13257","Port Augusta"
"13206","Port Pirie"
"13203","Footscray"
"13203","Williamstown"
"13186","Sale"
"13179","Coogee"
"13152","Templestowe Lower"
"13148","Brunswick West"
"13133","Hawthorn East"
"13133","Surrey Hills"
"13044","Port Lincoln"
"13031","Doonside"
"13008","Concord"
"13003","Toongabbie"
"12981","Dulwich Hill"
"12944","Balwyn"
"12903","Miranda"
"12871","Toorak"
"12829","Beaumaris"
"12816","Port Kennedy"
"12766","Broome"
"12596","Fawkner"
"12593","Scarborough"
"12576","St Kilda East"
"12568","Inala"
"12562","Warwick"
"12501","Rosebud"
"12482","Hampton"
"12425","Como"
"12420","Ashwood"
"12357","Chadstone"
"12347","Marsfield"
"12286","Kiama"
"12248","Mayfield"
"12248","Leichhardt"
"12184","Springvale South"
"12137","Goonellabah"
"12133","Port Augusta West"
"12121","Geelong West"
"12032","Lavington"
"12000","Doreen"
"11987","Newport"
"11969","Greenvale"
"11958","Blackburn"
"11886","Burwood"
"11867","West Ryde"
"11813","Kingswood Park"
"11813","Penrith"
"11796","Varsity Lakes"
"11795","Donvale"
"11791","Muswellbrook"
"11785","Taylors Hill"
"11759","Bateau Bay"
"11755","North Melbourne"
"11745","Wynnum West"
"11728","Karratha"
"11725","Charlestown"
"11719","Wynnum"
"11692","Penshurst"
"11667","Mentone"
"11661","Paddington"
"11605","Caringbah South"
"11600","Clayton South"
"11531","Happy Valley"
"11504","Diamond Creek"
"11482","Redfern"
"11473","North Fitzroy"
"11421","Warnbro"
"11416","Vermont South"
"11334","Sandy Bay"
"11310","East Maitland"
"11301","South Perth"
"11298","Lithgow"
"11240","Bayswater"
"11195","Manly West"
"11185","Parkdale"
"11113","Caulfield South"
"11027","Gympie"
"11005","Bairnsdale"
"10983","Bowen"
"10947","Nunawading"
"10931","Samford Valley"
"10931","Wanneroo"
"10891","Mount Gravatt East"
"10886","Altona North"
"10880","Caroline Springs"
"10868","Bulleen"
"10847","Kensington"
"10835","Gladesville"
"10781","Menai"
"10748","Bondi Beach"
"10713","Wellington Point"
"10703","Mount Lawley"
"10664","Annerley"
"10660","Tewantin"
"10649","Box Hill North"
"10637","Sunshine North"
"10613","Yokine"
"10557","Batemans Bay"
"10533","Camp Hill"
"10519","Marangaroo"
"10478","Dapto"
"10447","Maylands"
"10385","Drummoyne"
"10381","Melton West"
"10373","Bondi"
"10323","Sydenham"
"10307","Keilor Downs"
"10276","Neutral Bay"
"10263","Highett"
"10222","West Footscray"
"10221","Nambour"
"10182","Rutherford"
"10165","Maribyrnong"
"10162","Hallam"
"10160","Hillarys"
"10141","Burwood East"
"10129","Blackburn South"
"10128","Darlinghurst"
"10104","Hamilton"
"10072","Dingley Village"
"10062","Glenorchy"
"10052","Forest Hill"
"10043","Kilsyth"
"10026","Parkes"
"10020","Nedlands"
"10000","Moranbah"
"9985","Broadmeadows"
"9955","Grafton"
"9918","Altona"
"9902","Vermont"
"9847","Dalby"
